playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
wrapped 2020,Wash It All Away,5nRBTzF9dLIlNqnl0xWo9g,False,66,Got Your Six,4KXYNMizBHgXUFM1UOUhoJ,https://i.scdn.co/image/ab67616d0000b2734804f1513736e5e2b3e053dc,2015-09-04,Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,224906,4,2.08e-05,0.485,0.987,0.0,0.267,-3.1,1,0.0738,0.272,123.576,"alternative metal, groove metal, nu metal"
wrapped 2020,Kickstart My Heart,65HA9FsYyA2xro9RzNlNmy,False,79,Dr. Feelgood,6pL7kL9cOc0DpWCq6qJtxQ,https://i.scdn.co/image/ab67616d0000b2739a81658775e67d37b9e13be1,1989,Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,282653,7,0.00123,0.363,0.982,0.00218,0.284,-3.621,0,0.3,0.275,179.23,"album rock, alternative metal, glam metal, hard rock, metal, rock, sleaze rock"
wrapped 2020,Killing In The Name,59WN2psjkt1tyaxjspN8fp,True,82,Rage Against The Machine - XX (20th Anniversary Special Edition),4Io5vWtmV1rFj4yirKb4y4,https://i.scdn.co/image/ab67616d0000b27354ab617bc2d4974ab6ffbece,1992,Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj,313573,7,0.0266,0.466,0.833,0.0,0.0327,-4.215,1,0.304,0.661,88.785,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
wrapped 2020,Walk,7fcfNW0XxTWlwVlftzfDOR,True,77,Vulgar Display of Power,7kW0cpKgSVsEqcc8xgbSb0,https://i.scdn.co/image/ab67616d0000b273347c0a40c1e3f0c890a6d9d6,1992-02-21,Pantera,14pVkFUHDL207LzLHtSA18,315120,1,0.000155,0.43,0.704,0.00221,0.0933,-8.008,0,0.0804,0.703,118.242,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal"
wrapped 2020,Cemetery Gates,4vJr55lngvhSM8WIh9CjQc,True,69,Cowboys from Hell,5szY4sBOSD6IFjFN1RtWTe,https://i.scdn.co/image/ab67616d0000b2730ce52f4ba340a1e459e6a978,1990-07-20,Pantera,14pVkFUHDL207LzLHtSA18,422933,9,0.000212,0.274,0.726,0.0113,0.0993,-11.541,1,0.0449,0.426,146.449,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal"
wrapped 2020,Misery Business,3l9CW99AHtExIRV4hW2N5m,False,77,Riot!,71rziY9eLo1tA2dBMxrwhc,https://i.scdn.co/image/ab67616d0000b273bee754528c08d5ff6799a1eb,2007-06-11,Paramore,74XFHRwlV6OrjEM0A2NCMF,211520,1,0.00272,0.517,0.906,9.26e-06,0.113,-3.677,1,0.0735,0.731,172.977,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
wrapped 2020,Ignorance,47No93LxERvV6MtOAmQzHS,False,70,Brand New Eyes,27UqZoE1kV6sIV6uQcI28A,https://i.scdn.co/image/ab67616d0000b273e01d7d558032457b0e4883f6,2009-09-28,Paramore,74XFHRwlV6OrjEM0A2NCMF,218627,11,0.00109,0.522,0.964,0.000389,0.0387,-2.645,0,0.095,0.51,170.944,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
wrapped 2020,Brick by Boring Brick,1a9YW7fATU351ok4zWjU7a,False,67,Brand New Eyes,27UqZoE1kV6sIV6uQcI28A,https://i.scdn.co/image/ab67616d0000b273e01d7d558032457b0e4883f6,2009-09-28,Paramore,74XFHRwlV6OrjEM0A2NCMF,253947,9,9.56e-05,0.436,0.942,0.000438,0.209,-2.206,1,0.0496,0.5,164.975,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
wrapped 2020,Still into You,1yjY7rpaAQvKwpdUliHx0d,False,83,Paramore,4sgYpkIASM1jVlNC8Wp9oF,https://i.scdn.co/image/ab67616d0000b273532033d0d90736f661c13d35,2013-04-05,Paramore,74XFHRwlV6OrjEM0A2NCMF,216013,5,0.0098,0.602,0.923,0.0,0.0561,-3.763,1,0.044,0.765,136.01,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
wrapped 2020,Emergency,3i4xZSH1kTLE22TUvUFMYo,False,62,All We Know Is Falling,67f6SSb8yKduNCK15DsafC,https://i.scdn.co/image/ab67616d0000b2735cab62839794c2cc3d6a135b,2005-07-26,Paramore,74XFHRwlV6OrjEM0A2NCMF,240040,9,0.00276,0.424,0.94,1.03e-06,0.277,-3.524,1,0.0573,0.559,168.043,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock"
